2%,,,,,,,,,,,
years,0,1,2,3,4,5,6,7,8,9,
sells,28983.504,57967.008,115934.016,231868.032,289835.04,289835.04,289835.04,289835.04,289835.04,289835.04,
utilities,1449.1752,2898.3504,5796.7008,11593.4016,14491.752,14491.752,14491.752,14491.752,14491.752,14491.752,
costs,16464,14000,14000,14000,14000,14000,14000,14000,14000,14000,
van,-15014.8248,-10092.40873,-6779.586116,-1808.112998,335.8732327,305.3393025,277.5811841,252.346531,229.4059372,208.550852,-32085.8356
,,,,,,,,,,,
5%,,,,,,,,,,,
years,0,1,2,3,4,5,6,7,8,9,
sells,72458.76,144917.52,289835.04,579670.08,724587.6,724587.6,724587.6,724587.6,724587.6,724587.6,
utilities,3622.938,7245.876,14491.752,28983.504,36229.38,36229.38,36229.38,36229.38,36229.38,36229.38,
costs,16464,14000,14000,14000,14000,14000,14000,14000,14000,14000,
van,-12841.062,-6140.112727,406.4066116,11257.32832,15182.96564,13802.69604,12547.90549,11407.18681,10370.16983,9427.427116,65420.91114
,,,,,,,,,,,
8%,,,,,,,,,,,
years,0,1,2,3,4,5,6,7,8,9,
sells,115934.016,231868.032,463736.064,927472.128,1159340.16,1159340.16,1159340.16,1159340.16,1159340.16,1159340.16,
utilities,5796.7008,11593.4016,23186.8032,46373.6064,57967.008,57967.008,57967.008,57967.008,57967.008,57967.008,
costs,16464,14000,14000,14000,14000,14000,14000,14000,14000,14000,
van,-10667.2992,-2187.816727,7592.399339,24322.76965,30030.05806,27300.05278,24818.2298,22562.02709,20510.93372,18646.30338,162927.6579
