2%,,,,,,,,,,,
years,0,1,2,3,4,5,6,7,8,9,
sells,28983.504,57967.008,115934.016,231868.032,289835.04,289835.04,289835.04,289835.04,289835.04,289835.04,
utilities,1449.1752,2898.3504,5796.7008,11593.4016,14491.752,14491.752,14491.752,14491.752,14491.752,14491.752,
costs,11193.6,9248.5,9248.5,9248.5,9248.5,9248.5,9248.5,9248.5,9248.5,9248.5,
van,-9744.4248,-5772.863273,-2852.726612,1761.759279,3581.211666,3255.646969,2959.679063,2690.61733,2446.015754,2223.650686,548.5660617
5%,,,,,,,,,,,
years,0,1,2,3,4,5,6,7,8,9,
sells,72458.76,144917.52,289835.04,579670.08,724587.6,724587.6,724587.6,724587.6,724587.6,724587.6,
utilities,3622.938,7245.876,14491.752,28983.504,36229.38,36229.38,36229.38,36229.38,36229.38,36229.38,
costs,15242.6,13297.5,13297.5,13297.5,13297.5,13297.5,13297.5,13297.5,13297.5,13297.5,
van,-11619.662,-5501.476364,986.985124,11785.12697,15662.7826,14238.89327,12944.44843,11767.68039,10697.89126,9725.355693,70688.02537
8%,,,,,,,,,,,
years,0,1,2,3,4,5,6,7,8,9,
sells,115934.016,231868.032,463736.064,927472.128,1159340.16,1159340.16,1159340.16,1159340.16,1159340.16,1159340.16,
utilities,5796.7008,11593.4016,23186.8032,46373.6064,57967.008,57967.008,57967.008,57967.008,57967.008,57967.008,
costs,18668.6,16723.5,16723.5,16723.5,16723.5,16723.5,16723.5,16723.5,16723.5,16723.5,
van,-12871.8992,-4663.725818,5341.572893,22276.56379,28169.87091,25608.97355,23280.88505,21164.44095,19240.40087,17491.27352,145038.3565
